1039 [main] INFO  c.e.p.Practice22Application – Starting Practice22Application using Java 1.8.0_251 on LAPTOP-FID3PILK with PID 7724 (C:\Users\user\Desktop\University\4 term\Java\Practices\Practice22\target\classes started by user in C:\Users\user\Desktop\University\4 term\Java\Practices\Practice22)
1048 [main] INFO  c.e.p.Practice22Application – No active profile set, falling back to default profiles: default
1815 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate – Bootstrapping Spring Data JPA repositories in DEFAULT mode.
1898 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate – Finished Spring Data repository scanning in 70 ms. Found 2 JPA repository interfaces.
3000 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer – Tomcat initialized with port(s): 8080 (http)
3008 [main] INFO  o.a.coyote.http11.Http11NioProtocol – Initializing ProtocolHandler ["http-nio-8080"]
3008 [main] INFO  o.a.catalina.core.StandardService – Starting service [Tomcat]
3009 [main] INFO  o.a.catalina.core.StandardEngine – Starting Servlet engine: [Apache Tomcat/9.0.43]
3114 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] – Initializing Spring embedded WebApplicationContext
3115 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext – Root WebApplicationContext: initialization completed in 2013 ms
3250 [main] INFO  com.zaxxer.hikari.HikariDataSource – HikariPool-1 - Starting...
3349 [main] INFO  com.zaxxer.hikari.HikariDataSource – HikariPool-1 - Start completed.
3438 [main] INFO  o.h.jpa.internal.util.LogHelper – HHH000204: Processing PersistenceUnitInfo [name: default]
3484 [main] INFO  org.hibernate.Version – HHH000412: Hibernate ORM core version 5.4.28.Final
3609 [main] INFO  o.h.annotations.common.Version – HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
3708 [main] INFO  org.hibernate.dialect.Dialect – HHH000400: Using dialect: org.hibernate.dialect.PostgreSQL10Dialect
4219 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator – HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
4232 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean – Initialized JPA EntityManagerFactory for persistence unit 'default'
4577 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration – spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
4681 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor – Initializing ExecutorService 'applicationTaskExecutor'
4864 [main] INFO  o.s.s.c.ThreadPoolTaskScheduler – Initializing ExecutorService 'taskScheduler'
4901 [main] INFO  o.a.coyote.http11.Http11NioProtocol – Starting ProtocolHandler ["http-nio-8080"]
4919 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer – Tomcat started on port(s): 8080 (http) with context path ''
4931 [main] INFO  c.e.p.Practice22Application – Started Practice22Application in 4.52 seconds (JVM running for 5.809)
553157 [scheduling-1] INFO  c.e.p.services.SchedulerService – Task started
553169 [scheduling-1] INFO  c.e.p.services.SchedulerService – Files deleted
553429 [scheduling-1] INFO  com.example.practice22.Aspect – Method: getPosts from class com.example.practice22.services.PostService, Time: 220 ms, Parameters: []
553439 [scheduling-1] INFO  com.example.practice22.Aspect – Method: getUsers from class com.example.practice22.services.UserService, Time: 1 ms, Parameters: []
553439 [scheduling-1] INFO  com.example.practice22.Aspect – Method: doTask from class com.example.practice22.services.SchedulerService, Time: 299 ms, Parameters: []
